phase,asset_type,field,extraction_method,n,attr_confidence,composite,exact_pct,semantic_overlap,coverage_pct
M3: Chain-of-Thought,model_card,ai_model_model_type,mixed,10,0.900,0.966,0.0,0.00,100.0
M3: Chain-of-Thought,model_card,ai_model_version,deterministic,10,1.000,0.940,0.0,0.00,100.0
M3: Chain-of-Thought,model_card,ai_model_description,deterministic,10,0.900,0.940,0.0,0.00,100.0
M3: Chain-of-Thought,model_card,ai_model_owner,deterministic,10,1.000,0.940,0.0,0.00,100.0
M3: Chain-of-Thought,model_card,ai_model_location,deterministic,10,1.000,0.940,0.0,0.00,100.0
M3: Chain-of-Thought,datasheet,title,deterministic,10,0.900,0.940,0.0,0.00,100.0
M3: Chain-of-Thought,datasheet,description,llm,10,0.595,0.670,20.0,0.00,80.0
M3: Chain-of-Thought,datasheet,subjects,llm,10,0.665,0.770,10.0,0.00,90.0
M3: Chain-of-Thought,datasheet,creator,deterministic,10,0.900,0.940,0.0,0.00,100.0
M3: Chain-of-Thought,datasheet,publisher,llm,10,0.250,0.262,70.0,0.00,30.0
M3: Chain-of-Thought,datasheet,resource_type,llm,10,0.740,0.746,10.0,0.00,90.0
M3: Chain-of-Thought,datasheet,resource_type_general,llm,10,0.835,0.934,0.0,0.00,100.0
M3: Chain-of-Thought,datasheet,publication_year,deterministic,10,0.900,1.000,0.0,0.00,100.0
M3: Chain-of-Thought,datasheet,size,llm,10,0.160,0.172,80.0,0.00,20.0
M3: Chain-of-Thought,datasheet,format,llm,10,0.140,0.176,80.0,0.00,20.0
M3: Chain-of-Thought,datasheet,license,llm,10,0.270,0.270,70.0,0.00,30.0
M4: Experiment-Grounded,model_card,name,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,both,version,mixed,20,0.500,0.470,50.0,0.00,50.0
M4: Experiment-Grounded,model_card,short_description,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,full_description,deterministic,10,0.900,0.898,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,keywords,deterministic,10,0.900,1.000,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,author,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,citation,mixed,10,0.540,0.384,40.0,0.00,60.0
M4: Experiment-Grounded,model_card,input_data,mixed,10,0.360,0.376,60.0,0.00,40.0
M4: Experiment-Grounded,model_card,input_type,mixed,10,0.855,0.900,10.0,0.00,90.0
M4: Experiment-Grounded,model_card,output_data,mixed,10,0.665,0.658,30.0,0.00,70.0
M4: Experiment-Grounded,model_card,foundational_model,mixed,10,0.180,0.158,80.0,0.00,20.0
M4: Experiment-Grounded,model_card,category,mixed,10,0.855,0.900,10.0,0.00,90.0
M4: Experiment-Grounded,model_card,documentation,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,is_private,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,is_gated,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_framework,mixed,10,0.760,0.800,20.0,0.00,80.0
M4: Experiment-Grounded,model_card,ai_model_license,mixed,10,0.630,0.658,30.0,0.00,70.0
M4: Experiment-Grounded,model_card,ai_model_model_type,mixed,10,0.285,0.300,70.0,0.00,30.0
M4: Experiment-Grounded,model_card,ai_model_version,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_description,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_owner,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,ai_model_location,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,title,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,description,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,subjects,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,creator,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,publisher,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,resource_type,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,resource_type_general,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,publication_year,deterministic,10,0.900,1.000,0.0,0.00,100.0
M4: Experiment-Grounded,datasheet,size,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,format,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,datasheet,license,llm,10,0.000,0.000,100.0,0.00,0.0
M4: Experiment-Grounded,model_card,runtime_suggested_hardware,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_expected_f1_range,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_expected_latency_ms,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_typical_deployment_context,experiment_llm,10,0.425,0.425,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_deployment_maturity,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_recommended_min_ram_mb,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_inference_cost_class,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_expected_total_power_w,experiment_deterministic,10,0.475,0.475,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,runtime_known_failure_modes,experiment_llm,10,0.425,0.425,0.0,0.00,50.0
M4: Experiment-Grounded,model_card,name,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,both,version,mixed,20,0.530,0.509,45.0,0.00,55.0
M4: Experiment-Grounded,model_card,short_description,deterministic,10,0.900,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,full_description,deterministic,10,0.900,0.898,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,keywords,deterministic,10,0.900,1.000,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,author,deterministic,10,1.000,0.940,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,citation,mixed,10,0.540,0.384,40.0,0.00,60.0
M4: Experiment-Grounded,model_card,input_data,mixed,10,0.360,0.376,60.0,0.00,40.0
M4: Experiment-Grounded,model_card,input_type,mixed,10,0.945,0.996,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,output_data,mixed,10,0.665,0.658,30.0,0.00,70.0
M4: Experiment-Grounded,model_card,foundational_model,mixed,10,0.180,0.158,80.0,0.00,20.0
M4: Experiment-Grounded,model_card,category,mixed,10,0.950,0.998,0.0,0.00,100.0
M4: Experiment-Grounded,model_card,documentation,deterministic,10,1.000,0.940,0.0,0.00,100.0
